Final Portfolio Value,Return
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
